,policy_id,monthly_premium_est,insurance_tier,charges,customer_id,region_id
0,1,1407.08,Platinum,16884.92,1.0,1.0
1,2,143.8,Bronze,1725.55,2.0,2.0
2,3,370.79,Silver,4449.46,3.0,2.0
3,4,1832.04,Diamond,21984.47,4.0,3.0
4,5,322.24,Bronze,3866.86,5.0,3.0
5,6,313.05,Bronze,3756.62,6.0,2.0
6,7,686.72,Gold,8240.59,7.0,2.0
7,8,606.79,Silver,7281.51,8.0,3.0
8,9,533.87,Silver,6406.41,9.0,4.0
9,10,226.78,Bronze,2721.32,10.0,4.0
10,11,2317.39,Diamond,27808.73,11.0,2.0
11,12,924.23,Gold,11090.72,12.0,2.0
12,13,3300.98,Diamond,39611.76,13.0,2.0
13,14,153.1,Bronze,1837.24,14.0,1.0
14,15,899.78,Gold,10797.34,15.0,4.0
15,16,199.6,Bronze,2395.17,16.0,4.0
16,17,883.53,Gold,10602.38,17.0,1.0
17,18,3069.79,Diamond,36837.47,18.0,1.0
18,19,1102.4,Platinum,13228.85,19.0,4.0
19,20,345.81,Silver,4149.74,20.0,1.0
20,21,94.75,Bronze,1137.01,21.0,4.0
21,22,3141.82,Diamond,37701.88,22.0,3.0
22,23,516.99,Silver,6203.9,23.0,2.0
23,24,1166.76,Platinum,14001.13,24.0,4.0
24,25,1204.32,Platinum,14451.84,25.0,3.0
25,26,1022.39,Platinum,12268.63,26.0,3.0
26,27,231.27,Bronze,2775.19,27.0,1.0
27,28,3225.92,Diamond,38711.0,28.0,1.0
28,29,2965.46,Diamond,35585.58,29.0,4.0
29,30,183.18,Bronze,2198.19,30.0,3.0
30,31,390.65,Silver,4687.8,31.0,1.0
31,32,1147.51,Platinum,13770.1,32.0,3.0
32,33,4266.21,Diamond,51194.56,33.0,3.0
33,34,135.45,Bronze,1625.43,34.0,1.0
34,35,1301.02,Platinum,15612.19,35.0,4.0
35,36,191.86,Bronze,2302.3,36.0,1.0
36,37,3314.52,Diamond,39774.28,37.0,4.0
37,38,4014.45,Diamond,48173.36,38.0,2.0
38,39,253.84,Bronze,3046.06,39.0,2.0
39,40,412.48,Silver,4949.76,40.0,4.0
40,41,522.71,Silver,6272.48,41.0,1.0
41,42,526.15,Silver,6313.76,42.0,3.0
42,43,506.64,Silver,6079.67,43.0,2.0
43,44,1719.19,Diamond,20630.28,44.0,2.0
44,45,282.78,Bronze,3393.36,45.0,3.0
45,46,296.41,Bronze,3556.92,46.0,1.0
46,47,1052.49,Platinum,12629.9,47.0,3.0
47,48,3225.76,Diamond,38709.18,48.0,3.0
48,49,184.26,Bronze,2211.13,49.0,4.0
49,50,298.32,Bronze,3579.83,50.0,2.0
50,51,1964.02,Diamond,23568.27,51.0,3.0
51,52,3145.22,Diamond,37742.58,52.0,4.0
52,53,671.64,Gold,8059.68,53.0,2.0
53,54,3958.04,Diamond,47496.49,54.0,3.0
54,55,1133.95,Platinum,13607.37,55.0,3.0
55,56,2858.6,Diamond,34303.17,56.0,1.0
56,57,1937.07,Diamond,23244.79,57.0,3.0
57,58,499.13,Silver,5989.52,58.0,2.0
58,59,717.18,Gold,8606.22,59.0,2.0
59,60,375.39,Silver,4504.66,60.0,4.0
60,61,2513.88,Diamond,30166.62,61.0,1.0
61,62,344.47,Silver,4133.64,62.0,2.0
62,63,1225.98,Platinum,14711.74,63.0,1.0
63,64,145.27,Bronze,1743.21,64.0,3.0
64,65,1186.26,Platinum,14235.07,65.0,2.0
65,66,532.45,Silver,6389.38,66.0,2.0
66,67,493.34,Silver,5920.1,67.0,4.0
67,68,1471.93,Platinum,17663.14,68.0,3.0
68,69,1381.48,Platinum,16577.78,69.0,4.0
69,70,566.62,Silver,6799.46,70.0,2.0
70,71,978.48,Platinum,11741.73,71.0,3.0
71,72,995.55,Platinum,11946.63,72.0,1.0
72,73,643.9,Gold,7726.85,73.0,3.0
73,74,946.39,Gold,11356.66,74.0,3.0
74,75,328.95,Bronze,3947.41,75.0,1.0
